date,heure,élu
2007-02-20,20:00,Marie-Jo Batard
2007-02-20,20:00,Michel Gravouil
2007-02-20,20:00,Pierre Voyau
2007-03-28,20:30,Alain Guilbaud
2007-03-28,20:30,Georges Lecleve
2007-03-28,20:30,Gérard Bigot
2007-03-28,20:30,Gérard Guilbaud
2007-03-28,20:30,Jacques Chevalier
2007-03-28,20:30,Jacques Jaunatre
2007-03-28,20:30,Jean-Marie Gatard
2007-03-28,20:30,Jean-Paul Leray
2007-03-28,20:30,Jean Rondeau
2007-03-28,20:30,Louis-Marie Droneau
2007-03-28,20:30,Marie-Jo Batard
2007-03-28,20:30,Michel Gravouil
2007-03-28,20:30,Pierre Voyau
2007-03-28,20:30,Régine Cormier
2007-03-28,20:30,Sonia Bailly
2007-04-24,20:30,Alain Guilbaud
2007-04-24,20:30,Bernard Pennetier
2007-04-24,20:30,Georges Lecleve
2007-04-24,20:30,Gérard Bigot
2007-04-24,20:30,Gérard Guilbaud
2007-04-24,20:30,Jacques Chevalier
2007-04-24,20:30,Jacques Jaunatre
2007-04-24,20:30,Jean-Marie Gatard
2007-04-24,20:30,Jean-Paul Leray
2007-04-24,20:30,Jean Rondeau
2007-04-24,20:30,Karine Mosnier
2007-04-24,20:30,Louis-Marie Droneau
2007-04-24,20:30,Michel Gravouil
2007-04-24,20:30,Pierre Voyau
2007-04-24,20:30,Régine Cormier
2007-05-23,20:30,Alain Guilbaud
2007-05-23,20:30,Bernard Pennetier
2007-05-23,20:30,Georges Lecleve
2007-05-23,20:30,Gérard Guilbaud
2007-05-23,20:30,Jacques Chevalier
2007-05-23,20:30,Jacques Jaunatre
2007-05-23,20:30,Jean-Marie Gatard
2007-05-23,20:30,Jean-Paul Leray
2007-05-23,20:30,Jean Rondeau
2007-05-23,20:30,Louis-Marie Droneau
2007-05-23,20:30,Marie-Jo Batard
2007-05-23,20:30,Michel Gravouil
2007-05-23,20:30,Pierre Voyau
2007-05-23,20:30,Régine Cormier
2007-05-23,20:30,Sonia Bailly
2007-06-26,20:30,Alain Guilbaud
2007-06-26,20:30,Bernard Pennetier
2007-06-26,20:30,Georges Lecleve
2007-06-26,20:30,Gérard Bigot
2007-06-26,20:30,Gérard Guilbaud
2007-06-26,20:30,Jacques Chevalier
2007-06-26,20:30,Jacques Jaunatre
2007-06-26,20:30,Jean-Marie Gatard
2007-06-26,20:30,Jean-Paul Leray
2007-06-26,20:30,Jean Rondeau
2007-06-26,20:30,Karine Mosnier
2007-06-26,20:30,Marie-Jo Batard
2007-06-26,20:30,Michel Gravouil
2007-06-26,20:30,Pierre Voyau
2007-06-26,20:30,Régine Cormier
2007-06-26,20:30,Sonia Bailly
2007-07-18,20:30,Bernard Pennetier
2007-07-18,20:30,Georges Lecleve
2007-07-18,20:30,Gérard Bigot
2007-07-18,20:30,Gérard Guilbaud
2007-07-18,20:30,Jacques Chevalier
2007-07-18,20:30,Jacques Jaunatre
2007-07-18,20:30,Jean-Paul Leray
2007-07-18,20:30,Jean Rondeau
2007-07-18,20:30,Karine Mosnier
2007-07-18,20:30,Louis-Marie Droneau
2007-07-18,20:30,Marie-Jo Batard
2007-07-18,20:30,Michel Gravouil
2007-07-18,20:30,Pierre Voyau
2007-07-18,20:30,Régine Cormier
2007-09-11,20:30,Alain Guilbaud
2007-09-11,20:30,Bernard Pennetier
2007-09-11,20:30,Georges Lecleve
2007-09-11,20:30,Gérard Bigot
2007-09-11,20:30,Gérard Guilbaud
