2011-05-24,20:30,Philippe Briand
2011-05-24,20:30,Régine Cormier
2011-06-17,19:00,Alice Biczysko
2011-06-17,19:00,Annie Bardoul
2011-06-17,19:00,Bernard Chazelas
2011-06-17,19:00,Eric Lombrey
2011-06-17,19:00,Georges Lecleve
2011-06-17,19:00,Jacques Chevalier
2011-06-17,19:00,Jean-Marie Gatard
2011-06-17,19:00,Jean-Paul Leray
2011-06-17,19:00,Jean-Pierre Grandjouan
2011-06-17,19:00,Lionel Lescurat
2011-06-17,19:00,Nicolas Boucher
2011-06-17,19:00,Philippe Briand
2011-07-05,20:30,Alice Biczysko
2011-07-05,20:30,Annie Bardoul
2011-07-05,20:30,Bernard Chazelas
2011-07-05,20:30,Eric Lombrey
2011-07-05,20:30,Georges Lecleve
2011-07-05,20:30,Jacques Chevalier
2011-07-05,20:30,Jean-Marie Gatard
2011-07-05,20:30,Jean-Paul Leray
2011-07-05,20:30,Jean-Pierre Grandjouan
2011-07-05,20:30,Michèle Francheteau
2011-07-05,20:30,Nicolas Boucher
2011-07-05,20:30,Philippe Briand
2011-07-05,20:30,Régine Cormier
2011-09-13,20:30,Alice Biczysko
2011-09-13,20:30,Annie Bardoul
2011-09-13,20:30,Bernard Chazelas
2011-09-13,20:30,Eric Lombrey
2011-09-13,20:30,Georges Lecleve
2011-09-13,20:30,Jacques Chevalier
2011-09-13,20:30,Jean-Marie Gatard
2011-09-13,20:30,Jean-Paul Leray
2011-09-13,20:30,Jean-Pierre Grandjouan
2011-09-13,20:30,Michel Gravouil
2011-09-13,20:30,Nicolas Boucher
2011-09-13,20:30,Paul Pipaud
2011-09-13,20:30,Philippe Briand
2011-09-13,20:30,Régine Cormier
2011-10-12,20:30,Annie Bardoul
2011-10-12,20:30,Bernard Chazelas
2011-10-12,20:30,Georges Lecleve
2011-10-12,20:30,Jacques Chevalier
2011-10-12,20:30,Jean-Marie Gatard
2011-10-12,20:30,Jean-Paul Leray
2011-10-12,20:30,Jean-Pierre Grandjouan
2011-10-12,20:30,Michèle Francheteau
2011-10-12,20:30,Michel Gravouil
2011-10-12,20:30,Nicolas Boucher
2011-10-12,20:30,Paul Pipaud
2011-10-12,20:30,Philippe Briand
2011-10-12,20:30,Régine Cormier
2011-11-08,20:00,Alice Biczysko
2011-11-08,20:00,Annie Bardoul
2011-11-08,20:00,Bernard Chazelas
2011-11-08,20:00,Georges Lecleve
2011-11-08,20:00,Jacques Chevalier
2011-11-08,20:00,Jean-Marie Gatard
2011-11-08,20:00,Jean-Paul Leray
2011-11-08,20:00,Jean-Pierre Grandjouan
2011-11-08,20:00,Michèle Francheteau
2011-11-08,20:00,Michel Gravouil
2011-11-08,20:00,Paul Pipaud
2011-11-08,20:00,Philippe Briand
2011-11-08,20:00,Régine Cormier
2011-12-06,20:00,Alice Biczysko
2011-12-06,20:00,Annie Bardoul
2011-12-06,20:00,Bernard Chazelas
2011-12-06,20:00,Eric Lombrey
2011-12-06,20:00,Georges Lecleve
2011-12-06,20:00,Jacques Chevalier
2011-12-06,20:00,Jean-Marie Gatard
2011-12-06,20:00,Jean-Paul Leray
2011-12-06,20:00,Jean-Pierre Grandjouan
2011-12-06,20:00,Michel Gravouil
2011-12-06,20:00,Paul Pipaud
2011-12-06,20:00,Philippe Briand
2011-12-06,20:00,Régine Cormier
2012-01-17,20:00,Annie Bardoul
2012-01-17,20:00,Bernard Chazelas
2012-01-17,20:00,Eric Lombrey
2012-01-17,20:00,Georges Lecleve
2012-01-17,20:00,Jacques Chevalier
2012-01-17,20:00,Jean-Marie Gatard
2012-01-17,20:00,Jean-Paul Leray
2012-01-17,20:00,Jean-Pierre Grandjouan
2012-01-17,20:00,Lionel Lescurat
2012-01-17,20:00,Michèle Francheteau
2012-01-17,20:00,Michel Gravouil
2012-01-17,20:00,Paul Pipaud
2012-01-17,20:00,Philippe Briand
2012-01-17,20:00,Régine Cormier
2012-02-15,20:00,Alice Biczysko
2012-02-15,20:00,Annie Bardoul
2012-02-15,20:00,Bernard Chazelas
2012-02-15,20:00,Eric Lombrey
2012-02-15,20:00,Georges Lecleve
2012-02-15,20:00,Jacques Chevalier
2012-02-15,20:00,Jean-Marie Gatard
2012-02-15,20:00,Jean-Paul Leray
2012-02-15,20:00,Jean-Pierre Grandjouan
2012-02-15,20:00,Nicolas Boucher
2012-02-15,20:00,Paul Pipaud
2012-02-15,20:00,Philippe Briand
2012-02-15,20:00,Régine Cormier
2012-03-27,20:00,Alice Biczysko
2012-03-27,20:00,Annie Bardoul
2012-03-27,20:00,Bernard Chazelas
2012-03-27,20:00,Eric Lombrey
2012-03-27,20:00,Georges Lecleve
2012-03-27,20:00,Jacques Chevalier
2012-03-27,20:00,Jean-Marie Gatard
2012-03-27,20:00,Jean-Paul Leray
2012-03-27,20:00,Jean-Pierre Grandjouan
2012-03-27,20:00,Michèle Francheteau
2012-03-27,20:00,Michel Gravouil
2012-03-27,20:00,Nicolas Boucher
2012-03-27,20:00,Paul Pipaud
2012-03-27,20:00,Philippe Briand
2012-03-27,20:00,Régine Cormier
2012-04-25,20:30,Alice Biczysko
2012-04-25,20:30,Annie Bardoul
2012-04-25,20:30,Bernard Chazelas
2012-04-25,20:30,Georges Lecleve
2012-04-25,20:30,Jacques Chevalier
2012-04-25,20:30,Jean-Marie Gatard
2012-04-25,20:30,Jean-Paul Leray
